Time,PosX,PosY,PosZ,PredDx,PredDy,PredDz,UncertaintyX,UncertaintyY,UncertaintyZ,ActualDx,ActualDy,ActualDz, AdaptiveRSafe,CBFValue
30.2978,4.70858,-1.94975,0.765734,0.978206,-0.342906,9.1444,0.198964,0.198964,0.198964,0.687829,-0.0240889,10.9591,0.897929,35.5831
30.398,4.72387,-1.96384,0.798294,1.18105,-0.308185,9.26845,0.197322,0.197322,0.197322,-0.0810941,-0.22936,8.98487,0.894645,35.8189
30.4979,4.73596,-1.97479,0.827545,1.45231,-0.275601,9.28515,0.196974,0.196974,0.196974,0.352499,-3.93255,10.6664,0.893948,36.0019
30.5978,4.74893,-1.98573,0.857635,1.29409,-0.523097,9.36019,0.193013,0.193013,0.193013,1.16621,-3.81358,10.8799,0.886025,36.2083
30.6978,4.76238,-1.99634,0.889265,0.851031,-0.919198,9.47912,0.191697,0.191697,0.191697,0.729061,1.15978,9.72826,0.883395,36.41
30.7978,4.77743,-2.00734,0.922626,0.775732,-1.01504,9.52999,0.192276,0.192276,0.192276,-1.01274,-3.79438,10.3373,0.884551,36.6256
30.8979,4.79369,-2.01877,0.956787,0.572193,-1.27412,9.57502,0.194446,0.194446,0.194446,0.755917,-0.768144,10.722,0.888892,36.8521
30.9978,4.81301,-2.03215,0.997416,0.539822,-1.3857,9.64135,0.196607,0.196607,0.196607,-1.57206,-0.208569,8.87229,0.893214,37.1229
31.0978,4.83328,-2.0465,1.04205,0.285943,-1.33575,9.56017,0.203172,0.203172,0.203172,-1.39411,-2.35601,9.3233,0.906344,37.3939
31.1979,4.85333,-2.0605,1.08595,0.153849,-1.36516,9.42454,0.209053,0.209053,0.209053,1.83121,-3.51946,8.06564,0.918105,37.6642
31.2979,4.87297,-2.07419,1.11967,-0.661848,-1.55064,9.16324,0.210636,0.210636,0.210636,-0.802118,2.24994,8.65208,0.921272,37.9453
31.3979,4.89101,-2.08645,1.13471,-0.376415,-1.32635,8.91975,0.204804,0.204804,0.204804,-0.304028,1.46085,9.01712,0.909608,38.2298
31.4979,4.90688,-2.09683,1.1345,0.274781,-0.976817,8.75838,0.191199,0.191199,0.191199,-1.99857,1.80949,9.41464,0.882399,38.5093
31.5979,4.9208,-2.10495,1.13032,0.925977,-0.585961,8.69599,0.178145,0.178145,0.178145,-0.715684,-0.331671,9.57473,0.85629,38.7534
31.6979,4.9314,-2.11014,1.12901,1.577173,-0.329676,8.70754,0.170973,0.170973,0.170973,1.31799,-2.7584,10.1736,0.841946,38.9253
31.7978,4.9414,-2.1139,1.13129,1.10104,-0.298143,8.79,0.163389,0.163389,0.163389,0.833124,-0.79773,10.2163,0.826778,39.0853
31.8978,4.94924,-2.11531,1.1356,0.624907,-0.302204,8.90686,0.156359,0.156359,0.156359,-0.202584,-2.20409,9.24325,0.812717,39.2075
31.9978,4.95522,-2.11488,1.1363,0.148774,-0.382932,8.99101,0.147789,0.147789,0.147789,0.649813,-0.126562,8.72263,0.795578,39.3045
32.098,4.95953,-2.11294,1.12916,-0.327359,-0.429691,9.0347,0.139834,0.139834,0.139834,1.51527,0.291935,9.32496,0.779667,39.3727
32.1978,4.96195,-2.10957,1.11941,-0.803492,-0.452801,9.08329,0.134346,0.134346,0.134346,1.0397,1.79508,10.1512,0.768693,39.4043
32.2979,4.96265,-2.10506,1.11096,1.29442,-0.410225,9.16453,0.131488,0.131488,0.131488,1.65681,-1.31389,9.72133,0.762975,39.4024
32.3979,4.96189,-2.09972,1.10457,1.25143,-0.423723,9.24809,0.128819,0.128819,0.128819,0.627828,-0.365018,10.0948,0.757637,39.3789
32.4979,4.95989,-2.09367,1.09969,1.20844,-0.441216,9.33845,0.125114,0.125114,0.125114,1.21073,-1.59172,10.718,0.750229,39.3409
